,likes,comments,dislikes,likes_dislikes,views,duration,count
alt_words,-0.08892740521075614,-0.05524032582921633,-0.18791267378777882,-0.09743728043892058,7.337038784870983,287.12874251497004,668
blues_words,,,,,,,0
christian_words,-0.14449337542935276,-0.46644524154890854,-0.23304127945854455,-0.08603266105466802,6.463699098114358,479.3103448275862,29
classical_words,-0.5674017971819463,-0.19797969207210653,-0.7046332778527217,-0.12735453385675097,5.754542313085888,1333.0384615384614,52
country_words,-0.2034304875918779,-0.3835408134870117,0.07115111047753749,0.27812277843979,6.806138368847404,328.5,6
dubstep_words,0.25678796042212565,0.10639260418689608,-0.02002539858199105,-0.28128335018174266,6.3629903308804305,561.5384615384615,117
edm_words,0.47051943009624697,0.18102110660050674,0.4330669432284336,-0.045642970946483244,6.730459586548897,465.1621621621622,37
extended_words,-0.028709898368560614,-0.07888148094446974,-0.11304086882782988,-0.08383120796181173,6.312148732668277,634.7,60
folk_words,0.07683085968812221,-0.14067304845814685,-0.19773389562815047,-0.27590217496948005,6.6602592196071555,384.8780487804878,82
halloween_words,0.8634045808451598,0.6374361499031466,0.529296666312333,-0.3491374776507955,7.075407653047976,272.7142857142857,21
hit_words,-0.10574396991588832,-0.02889760633053877,-0.1933901106063645,-0.08580542116517677,7.662303576769771,259.02444444444444,450
italian_words,-0.437548581658034,-0.7457380665310185,-0.25484260409911,0.19032252740253047,6.74456096909348,318.4375,16
jazz_words,-0.2695221079437356,-0.28861579231087475,-0.33733817346854333,-0.06312440691782958,6.412231722167627,465.7894736842105,19
kpop_words,0.7735093005196143,0.9020874547753911,0.11326697497643481,-0.673707052407514,6.724559082142641,459.3170731707317,41
latin_words,0.021766797351481168,-0.14073754585276604,0.2707046784917716,0.24855897945048136,7.503166439214403,253.8190476190476,105
love_songs,0.41923788418708213,0.2827734458134196,-0.15207295258126344,-0.5786086463718878,6.933463545021817,383.2916666666667,48
other_rock_words,0.05196587252186174,0.02783367224878636,-0.2611846357054615,-0.31405509499739126,6.674441841211577,672.0769230769231,39
pop_words,0.07825512396025025,0.08234061790393982,-0.004863403557123352,-0.08448073979995702,7.237325994048826,303.89611872146116,876
rap_words,0.1344733350469995,0.04991028383066053,0.2736463806493522,0.13683222471535297,6.63844062148256,549.8383233532934,167
remix_words,-0.01147294302772715,-0.07231607614143726,-0.10858066670180334,-0.09690801043973801,7.210568047156508,328.93738819320214,559
reggae_words,-0.5161784597719289,-0.7068572584351184,-0.6496160562502624,-0.12445231088524249,6.605652296683405,252.66666666666666,6
romanian_words,-0.4567104534807956,-0.618726613374586,-0.2287720756456924,0.23588848458633796,6.806651823094158,230.73529411764707,34
relax_words,0.1542617936190881,-0.04910817216070191,0.8015418027412475,0.6445947241290907,6.70770169841724,2196.4545454545455,22
rock_words,0.7358152362356918,0.8700821114433959,0.3591436135939162,-0.38948019672339795,6.231856016225866,287.5,4
trap_words,0.485114371323386,0.19269182871985327,0.3587014652970187,-0.13485744897296853,7.022341034986752,248.33333333333334,180
